,accommodates,price,minimum_nights,maximum_nights,minimum_maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_rating,calculated_host_listings_count,calculated_host_listings_count_private_rooms,days_since_last_review,days_since_first_review,days_since_host_since,room_type,host_response_rate,bathrooms,host_is_superhost,host_identity_verified,instant_bookable,Entire rental unit,Price/square ,EMPORIKO TRIGONO-PLAKA,jumio,work_email,Shampoo,Heating,Hot water,TV,Coffee maker,Dedicated workspace,Bed linens,Washer,Elevator,Fire extinguisher,First aid kit,Free street parking,Extra pillows and blankets,Patio or balcony,Smoke alarm,Microwave,Shower gel,Luggage dropoff allowed,Private entrance,Host greets you,Lockbox,Room-darkening shades,Hot water kettle,Crib,Paid parking off premises,Body soap,Dryer,Baking sheet,Ethernet connection,Dishwasher,Outdoor furniture,High chair,Pack ’n play/Travel crib,Cable TV,Single level home,Bathtub
69,5,33.0,2,30,1125,9,271,35,5.0,1,0,101,1946,3445,0,5,1 ,1.0,1.0,0,1,1100,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
70,8,120.0,2,1125,1125,10,27,2,4.81,40,0,49,2640,3630,0,5,2.5 ,1.0,1.0,0,1,1100,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0
71,2,50.0,5,1125,1125,1,38,7,4.89,1,0,109,1951,3338,0,5,1.5 ,0.0,1.0,0,0,1570,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2,25.0,2,10,10,28,109,5,4.79,2,1,813,2375,3334,2,5,1  ,0.0,1.0,0,0,1800,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
73,6,55.0,2,15,15,27,57,0,4.76,2,1,839,3126,3334,0,5,1 ,0.0,1.0,0,1,1800,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
74,5,90.0,5,90,90,4,223,4,4.87,1,0,410,2628,3330,0,5,2 ,0.0,1.0,1,0,1175,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
75,3,39.0,3,400,1125,0,84,1,4.63,1,0,797,2845,3389,0,5,1 ,1.0,1.0,1,1,1570,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
76,4,32.0,3,1125,1125,17,462,15,4.91,10,0,90,2986,3431,0,5,1 ,1.0,1.0,1,1,1000,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
77,4,50.0,5,36,1125,15,126,7,4.71,2,1,77,3022,3432,0,5,1 ,0.0,1.0,1,0,1950,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
78,8,52.0,3,1125,1125,15,303,18,4.87,2,0,40,2793,3323,0,5,1 ,1.0,1.0,1,1,2300,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1
